frame,timestamp,yolo_detected,skeleton_extracted,skeleton_normalized,buffer_size,fall_probability,status
50,1.72,True,True,True,30,4.8,NORMAL
51,1.76,True,True,True,30,4.8,NORMAL
52,1.79,True,True,True,30,5.0,NORMAL
53,1.83,True,True,True,30,6.0,NORMAL
54,1.86,True,True,True,30,18.8,NORMAL
55,1.90,True,True,True,30,2.2,NORMAL
56,1.93,True,True,True,30,2.9,NORMAL
57,1.97,True,True,True,30,36.6,NORMAL
58,2.00,True,True,True,30,67.1,FALL
59,2.03,True,True,True,30,2.8,NORMAL
60,2.07,True,True,True,30,1.8,NORMAL
61,2.10,True,True,True,30,3.6,NORMAL
62,2.14,True,True,True,30,13.6,NORMAL
63,2.17,True,True,True,30,2.5,NORMAL
64,2.21,True,True,True,30,1.2,NORMAL
65,2.24,True,True,True,30,2.5,NORMAL
66,2.28,True,True,True,30,14.6,NORMAL
67,2.31,True,True,True,30,3.0,NORMAL
68,2.34,True,True,True,30,1.4,NORMAL
69,2.38,True,True,True,30,3.5,NORMAL
70,2.41,True,True,True,30,18.4,NORMAL
71,2.45,True,True,True,30,5.2,NORMAL
72,2.48,True,True,True,30,48.4,NORMAL
73,2.52,True,True,True,30,65.8,FALL
74,2.55,True,True,True,30,21.4,NORMAL
75,2.59,True,True,True,30,10.0,NORMAL
76,2.62,True,True,True,30,7.8,NORMAL
77,2.66,True,True,True,30,13.3,NORMAL
78,2.69,True,True,True,30,9.3,NORMAL
79,2.72,True,True,True,30,8.8,NORMAL
80,2.76,True,True,True,30,9.3,NORMAL
81,2.79,True,True,True,30,13.8,NORMAL
82,2.83,True,True,True,30,1.7,NORMAL
83,2.86,True,True,True,30,3.1,NORMAL
84,2.90,True,True,True,30,2.4,NORMAL
85,2.93,True,True,True,30,4.0,NORMAL
86,2.97,True,True,True,30,0.4,NORMAL
87,3.00,True,True,True,30,0.8,NORMAL
88,3.03,True,True,True,30,4.6,NORMAL
89,3.07,False,False,False,30,0.0,NORMAL
90,3.10,False,False,False,30,0.0,NORMAL
91,3.14,True,True,True,30,2.3,NORMAL
92,3.17,True,True,True,30,1.0,NORMAL
93,3.21,True,True,True,30,3.1,NORMAL
94,3.24,True,True,True,30,48.7,NORMAL
95,3.28,True,True,True,30,3.6,NORMAL
96,3.31,True,True,True,30,3.2,NORMAL
97,3.34,True,True,True,30,4.6,NORMAL
98,3.38,True,True,True,30,11.1,NORMAL
99,3.41,True,True,True,30,3.1,NORMAL
100,3.45,True,True,True,30,12.3,NORMAL
101,3.48,True,True,True,30,10.8,NORMAL
102,3.52,True,True,True,30,15.7,NORMAL
103,3.55,True,True,True,30,7.0,NORMAL
104,3.59,False,False,False,30,0.0,NORMAL
105,3.62,True,True,True,30,17.8,NORMAL
106,3.66,True,True,True,30,12.5,NORMAL
107,3.69,True,True,True,30,11.8,NORMAL
108,3.72,True,True,True,30,4.2,NORMAL
109,3.76,True,True,True,30,20.2,NORMAL
110,3.79,True,True,True,30,16.3,NORMAL
111,3.83,True,True,True,30,15.9,NORMAL
112,3.86,True,True,True,30,3.0,NORMAL
113,3.90,True,True,True,30,3.0,NORMAL
114,3.93,True,True,True,30,2.4,NORMAL
115,3.97,True,True,True,30,2.6,NORMAL
116,4.00,True,True,True,30,1.2,NORMAL
117,4.03,False,False,False,30,0.0,NORMAL
118,4.07,False,False,False,30,0.0,NORMAL
119,4.10,False,False,False,30,0.0,NORMAL
120,4.14,False,False,False,30,0.0,NORMAL
121,4.17,False,False,False,30,0.0,NORMAL
122,4.21,False,False,False,30,0.0,NORMAL
